id,answer_score
999144,1
4126545,1
3143820,3
6738768,5
1744091,4
4967951,26
1335229,7
1201021,2
2037005,1
1162880,3
4885497,1
2842706,6
2988571,2
6490220,1
6671232,1
5834483,65
4110986,21
3006304,47
3006305,50
2047150,7
6881925,7
6623517,7
1196576,2
6773918,1
6446173,1
1543148,2
6975574,5
3990954,1
6874727,1
1207473,7
3116043,3
6605720,14
5014233,9
1277098,4
10813,9
3031176,3
5870006,1
1044685,1
384665,71
6662689,10
6961055,8
1170218,4
1965031,1
4642412,7
2848209,5
4048278,1
1980623,1
4697250,1
6883012,3
390312,1
4960931,5
5539465,3
4270932,8
1132905,3
1929712,42
7107337,3
7142754,1
342624,2
3797090,8
3774990,2
2215643,57
2894860,1
1595,51
4074560,23
3456590,5
3852527,13
4890083,3
5799757,3
2243590,4
1994492,5
5833773,1
1304621,8
3891180,16
2278489,1
5328130,2
1335901,9
3278966,1
3923163,1
2669318,3
7347740,3
4904599,4
3132603,1
377733,1
320073,5
2923975,8
6777614,1
6054397,28
5907423,1
4312658,2
157971,1
3088426,3
6162790,1
5826014,24
4102517,12
2187020,80
1882040,2
5610022,3
4081954,5
1398142,3
4432804,1
1004673,1
1036385,7
3802884,27
5729623,2
2028272,1
6731357,6
2333577,1
5876360,4
2994968,3
445295,1
2705479,3
6815828,9
850963,16
4771909,7
5109691,1
5615371,8
2258716,1
6967372,16
4781132,19
5717547,758
5717548,2280
6817570,4
4835883,7
5039109,2
2413786,1
4228076,2
2309976,2
6799420,28
1342630,1
6056088,52
5498519,4
4813006,2
6304618,1
6676471,6
4930107,2
4803523,1
2901199,3
7169278,3
3931312,2
5924055,1
414874,3
4112147,1
6842998,12
275535,5
5527563,411
79159,3
3223426,1
4654334,355
4181285,70
3993170,62
3719216,54
3266201,3
3786318,1
6017047,1
1158736,8
6754458,11
1307446,31
3905155,11
4335089,1
2004318,18
5739862,26
2075615,62
996204,4
4907903,1
5597785,7
6097701,2
6489905,2
4871085,27
3148166,1
1296539,2
4114604,9
2954264,3
6037406,1
5935028,1
